Hour,Hourly Load,Hourly Price
2,11656.5,41.79
3,11635.4,41.76
4,11577,42.68
5,11549.7,39.79
6,11562.2,44.19
7,11531.3,46.49
8,11558.1,48.95
9,11561.1,47.38
10,11519.2,46.66
11,11428.1,42.37
12,11412.8,36.46
13,11325.3,33.77
14,11304.9,40.55
15,11296.9,41.08
16,11298,37.39
17,11219.4,41.75
18,11151.8,43
19,11277.7,47.66
20,11374.9,43.7
21,11443,40.53
22,11437.2,39
23,11433.6,6.45
24,11438.8,0
1,11424.8,0
2,11409.7,0
3,11396.9,12.74
4,11451.7,28.92
5,11434.9,19.72
6,11434.4,38.99
7,11441.5,44.75
8,11422,51.09
9,11386.9,47.35
10,11447.1,48.93
11,11434.4,45.72
12,11533.1,44.73
13,11530.8,39.48
14,11554.6,33.44
15,11634.6,32.46
16,11589,30.54
17,11661.4,36.59
18,11687.5,42.77
19,11642.5,54.63
20,11605.7,53.06
21,11739.9,48.33
22,11747.5,46.46
23,11759.5,46.46
24,11773.4,42.44
